,SKU,price,note,category,brand,platform
90,"AnyNet 250Mnt, 30hr",58800,Paket AnyNet 250Menit. Masa aktif 30 hari.,Paket Data,Xl,mitra bukalapak
91,HotRod 24 Jam 3GB,58712,,Paket Data,Xl,mitra bukalapak
94,HotRod 24 Jam 3GB,58712,Kuota Utama 3GB (2G/3G/4G). Masa aktif 30 hari.,Paket Data,Xl,mitra bukalapak
95,"AnyNet 325Mnt, 30hr",73500,Paket AnyNet 325 Menit. Masa aktif 30 hari.,Paket Data,Xl,mitra bukalapak
96,"AnyNet 300Mnt, 90hr",97900,Paket AnyNet 300 Menit. Masa aktif 90 hari.,Paket Data,Xl,mitra bukalapak
97,HotRod 24Jam 6GB,97900,Kuota Utama 6GB (2G/3G/4G). Masa aktif 30 hari.,Paket Data,Xl,mitra bukalapak
98,HotRod 24Jam 8GB,127895,Kuota Utama 8GB (2G/3G/4G). Masa aktif 30 hari.,Paket Data,Xl,mitra bukalapak
102,"AnyNet 500Mnt, 30hr",137200,Paket AnyNet 500 Menit. Masa aktif 30 hari.,Paket Data,Xl,mitra bukalapak
103,"AnyNet 500Mnt, 90hr",144000,Paket AnyNet 500 Menit. Masa aktif 90 hari.,Paket Data,Xl,mitra bukalapak
104,HotRod 24Jam 12GB,175895,Kuota Utama 12GB (2G/3G/4G). Masa aktif 30 hari.,Paket Data,Xl,mitra bukalapak
105,HotRod 24Jam 16GB,215000,Kuota Utama 16GB (2G/3G/4G). Masa aktif 30 hari.,Paket Data,Xl,mitra bukalapak
0,BRONET 24 Jam 1GB 1 Hr + Bonus Lokal Kuota,3640,,Paket Data,Axis,mitra bukalapak
1,AIGO Bronet Mini 1GB 5hr,10090,,Paket Data,Axis,mitra bukalapak
2,AIGO Bronet Mini 2GB 7hr,17830,,Paket Data,Axis,mitra bukalapak
3,AIGO Bronet Mini 3GB 15hr,22190,,Paket Data,Axis,mitra bukalapak
4,"Axis Data 500MB, 30 hari",10000,,Paket Data,Axis,mitra bukalapak
5,"[Parti Day] Bronet 24jam 3GB Nat + 2GB Sosmed/Chat, 3hr",10000,,Paket Data,Axis,mitra bukalapak
6,BRONET Mini 1GB 7 hari,12450,,Paket Data,Axis,mitra bukalapak
12,BRONET Mini 1.5GB 7 hari,14950,,Paket Data,Axis,mitra bukalapak
13,AIGO Bronet 24Jam 1GB 30hr,16000,,Paket Data,Axis,mitra bukalapak
14,"Axis Data 2GB, 30 hari",32050,Sedang Gangguan,Paket Data,Axis,mitra bukalapak
15,"Axis Data 800MB, 30 hari",17500,,Paket Data,Axis,mitra bukalapak
16,BRONET Mini 2GB 7hr,17900,,Paket Data,Axis,mitra bukalapak
23,"Axis Data 1GB, 30 hari",18500,,Paket Data,Axis,mitra bukalapak
24,BRONET Mini 3GB 7 hari,20250,,Paket Data,Axis,mitra bukalapak
25,BRONET Mini 5GB 7 hari,23650,,Paket Data,Axis,mitra bukalapak
26,AIGO Bronet 24Jam 3GB 30hr,25850,,Paket Data,Axis,mitra bukalapak
